name,start_time,finish_time,duration,executed_at
CompleteTopologyShuffle,0.0,50.640472998621654,50.640472998621654,network
HostTopologyShuffle,60.707121638020475,105.79562797635688,45.08850633833641,network
IPShuffle,122.11154778719992,163.44413004956544,41.33258226236552,network
OSDiversity,153.40181237077377,188.81504698997279,35.41323461919902,application
PortShuffle,214.13496823502715,244.58162541418352,30.446657179156375,application
ServiceDiversity,244.81799655449439,285.02914718227703,40.211150627782644,application
CompleteTopologyShuffle,275.7223046642252,325.75905238766467,50.036747723439476,network
HostTopologyShuffle,337.03053561625484,382.65457270813437,45.62403709187953,network
IPShuffle,397.2564991160657,437.770090553777,40.513591437711284,network
OSDiversity,427.8785760571601,463.2979389565978,35.419362899437715,application
PortShuffle,488.71179375203155,518.7281827785738,30.016389026542242,application
ServiceDiversity,518.7491113969833,559.3315672663392,40.582455869355954,application
CompleteTopologyShuffle,548.8640905520641,599.1228070926496,50.25871654058551,network
HostTopologyShuffle,610.0530253681686,656.6337310364441,46.58070566827553,network
IPShuffle,671.4586718437289,711.5047194528095,40.046047609080574,network
OSDiversity,702.1822257845218,737.2903485413674,35.108122756845546,application
PortShuffle,762.7441918957628,793.4366541575483,30.692462261785522,application
ServiceDiversity,822.9061104046718,863.1813680404457,40.27525763577387,application
CompleteTopologyShuffle,853.0012316767604,903.2162835632887,50.21505188652827,network
HostTopologyShuffle,914.5853938305241,960.6404815511345,46.055087720610345,network
IPShuffle,976.6778807871401,1016.7236039406685,40.04572315352834,network
OSDiversity,1006.9323410640143,1043.262992483103,36.33065141908878,application
PortShuffle,1067.32632225522,1097.5181853291087,30.191863073888726,application
ServiceDiversity,1098.465108742467,1138.6850956114295,40.21998686896245,application
CompleteTopologyShuffle,1128.4731662017903,1181.1692585275991,52.69609232580888,network
HostTopologyShuffle,1188.788017365194,1235.2218024329366,46.43378506774252,network
IPShuffle,1250.0548673992657,1290.5571728712123,40.502305471946556,network
OSDiversity,1280.2266279020055,1315.687958049711,35.46133014770544,application
PortShuffle,1340.8582994378507,1370.861909672592,30.003610234741245,application
ServiceDiversity,1373.2155791071793,1413.236613325209,40.02103421802963,application
CompleteTopologyShuffle,1403.9064795956376,1454.548014084869,50.64153448923139,network
HostTopologyShuffle,1464.5856571696502,1511.1597687170345,46.57411154738429,network
IPShuffle,1524.9275398543793,1565.0056879673132,40.07814811293383,network
OSDiversity,1555.4070242470286,1590.5159250595996,35.10890081257094,application
PortShuffle,1616.765003008021,1647.0811929839376,30.316189975916586,application
ServiceDiversity,1677.6192349698458,1718.881744482725,41.262509512879205,application
CompleteTopologyShuffle,1708.3587647882723,1760.1657817990363,51.80701701076396,network
HostTopologyShuffle,1769.1219332608232,1814.1547490013636,45.0328157405404,network
IPShuffle,1829.6614977224544,1870.2110035971284,40.54950587467397,network
OSDiversity,1860.2207729254833,1896.2911016823894,36.070328756906065,application
PortShuffle,1920.9784218473874,1951.0636420522794,30.08522020489204,application
ServiceDiversity,1951.761504183473,1992.1194075302205,40.357903346747435,application
CompleteTopologyShuffle,1982.078229780519,2032.1414077953439,50.06317801482487,network
HostTopologyShuffle,2042.3548803502006,2087.8907385520165,45.53585820181593,network
IPShuffle,2103.7194961612267,2143.837744127894,40.11824796666724,network
OSDiversity,2136.5508225205785,2172.1919625666364,35.6411400460579,application
PortShuffle,2197.5987435128914,2227.9518912472995,30.35314773440814,application
ServiceDiversity,2227.9839697152343,2270.5557921840077,42.57182246877346,application
CompleteTopologyShuffle,2258.415592154346,2308.5668720411045,50.1512798867584,network
HostTopologyShuffle,2318.7673183327406,2364.6492155050437,45.88189717230307,network
IPShuffle,2380.3531204876117,2421.468728007314,41.11560751970228,network
OSDiversity,2410.449914966585,2445.8206000305777,35.37068506399282,application
PortShuffle,2471.6257139805216,2501.765588007942,30.13987402742032,application
ServiceDiversity,2531.874241621394,2572.222883533694,40.34864191230008,application
CompleteTopologyShuffle,2562.004157606607,2612.097712614412,50.09355500780521,network
HostTopologyShuffle,2622.9678980347967,2667.995786117102,45.02788808230525,network
IPShuffle,2683.7906693656737,2724.0672193014516,40.27654993577789,network
OSDiversity,2715.514367547453,2750.835918628153,35.321551080700374,application
PortShuffle,2778.6813413526884,2808.8518707036733,30.170529350984907,application
ServiceDiversity,2809.182906382277,2849.2206326398305,40.03772625755346,application
CompleteTopologyShuffle,2840.1358595364095,2890.3615125397628,50.22565300335327,network
HostTopologyShuffle,2900.5258967756176,2945.6621855899275,45.136288814309864,network
IPShuffle,2960.877440055347,3001.2837915526297,40.406351497282685,network
OSDiversity,2992.361113504844,3027.7319404028344,35.370826897990355,application
PortShuffle,3053.5398108082322,3083.8517039796784,30.311893171446172,application
ServiceDiversity,3085.69450671907,3125.7487464419128,40.054239722842794,application
CompleteTopologyShuffle,3117.3851630281856,3167.4869108497323,50.101747821546724,network
HostTopologyShuffle,3178.5698282161243,3225.107232212094,46.537403995969726,network
IPShuffle,3239.3887667035992,3279.770092951378,40.381326247778816,network
OSDiversity,3270.057881039441,3305.2273235028642,35.169442463423366,application
PortShuffle,3330.682312241123,3360.75916460361,30.07685236248699,application
ServiceDiversity,3360.7720308714124,3401.2270281080355,40.45499723662306,application
CompleteTopologyShuffle,3391.114821489125,3441.2119981078104,50.09717661868535,network
HostTopologyShuffle,3451.4559839125177,3497.442362452846,45.98637854032813,network
IPShuffle,3512.7510627159922,3553.8429213595114,41.09185864351912,network
OSDiversity,3542.799618500765,3578.5860392815043,35.78642078073926,application
PortShuffle,3603.2396179683224,3633.8812693925825,30.64165142426009,application
