name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
EXPLOIT_VULN,4380.2798958148005,4382.687007816087,2.407112001286805,31,274c9c4a-6295-4e07-80f4-6f38fbfad172,None,None,1,174,7,[],network,HostTopologyShuffle
SCAN_HOST,4392.687007816087,4402.687007816087,10.0,-1,-1,None,None,0,174,7,[],None,None
ENUM_HOST,4402.687007816087,4417.687007816087,15.0,-1,-1,None,None,0,174,7,[],None,None
SCAN_PORT,4417.687007816087,4436.9733203816195,19.28631256553217,30,e48dcce1-4fde-45bc-8764-873a5b943577,None,None,1,174,7,[],network,IPShuffle
SCAN_HOST,4446.9733203816195,4456.9733203816195,10.0,-1,-1,None,None,0,174,7,[],None,None
ENUM_HOST,4456.9733203816195,4471.9733203816195,15.0,-1,-1,None,None,0,174,7,[],None,None
SCAN_PORT,4471.9733203816195,4491.9733203816195,20.0,26,c5093623-92e2-43f0-98a9-14e4aa95f977,None,None,1,174,7,[],None,None
EXPLOIT_VULN,4491.9733203816195,4517.320859506,25.34753912438009,26,c5093623-92e2-43f0-98a9-14e4aa95f977,26,c5093623-92e2-43f0-98a9-14e4aa95f977,1,174,7,"['Simonne', 'Veronica', 'Merline']",None,None
SCAN_NEIGHBOR,4517.320859506,4527.320859506,10.0,26,c5093623-92e2-43f0-98a9-14e4aa95f977,None,None,1,194,8,[],None,None
ENUM_HOST,4527.320859506,4542.320859506,15.0,26,c5093623-92e2-43f0-98a9-14e4aa95f977,None,None,1,194,8,[],None,None
SCAN_PORT,4542.320859506,4562.320859506,20.0,51,04620c55-261e-41f1-8d20-310325a049a8,None,None,6,194,8,[],None,None
EXPLOIT_VULN,4562.320859506,4587.728403272804,25.407543766804338,51,04620c55-261e-41f1-8d20-310325a049a8,51,04620c55-261e-41f1-8d20-310325a049a8,6,194,8,"['Maxine', 'Fan', 'Elisa', 'Inez']",None,None
SCAN_NEIGHBOR,4587.728403272804,4597.728403272804,10.0,51,04620c55-261e-41f1-8d20-310325a049a8,None,None,6,205,9,[],None,None
ENUM_HOST,4597.728403272804,4612.728403272804,15.0,51,04620c55-261e-41f1-8d20-310325a049a8,None,None,6,205,9,[],None,None
SCAN_PORT,4612.728403272804,4629.328484729621,16.60008145681695,33,150d679b-8a5c-4e29-bf13-53e6b9dc9c92,None,None,2,205,9,[],network,CompleteTopologyShuffle
SCAN_HOST,4639.328484729621,4649.328484729621,10.0,-1,-1,None,None,0,205,9,[],None,None
ENUM_HOST,4649.328484729621,4664.328484729621,15.0,-1,-1,None,None,0,205,9,[],None,None
SCAN_PORT,4664.328484729621,4684.328484729621,20.0,20,6ffad728-6eed-4032-a571-69cd1caa6552,None,None,1,205,9,[],None,None
EXPLOIT_VULN,4684.328484729621,4685.305760435199,0.9772757055779948,20,6ffad728-6eed-4032-a571-69cd1caa6552,None,None,1,205,9,[],network,HostTopologyShuffle
SCAN_HOST,4695.305760435199,4705.305760435199,10.0,-1,-1,None,None,0,205,9,[],None,None
ENUM_HOST,4705.305760435199,4720.305760435199,15.0,-1,-1,None,None,0,205,9,[],None,None
SCAN_PORT,4720.305760435199,4740.305760435199,20.0,54,f769b5a1-c7cd-4ff6-b11e-0f3c9d8bd1a0,None,None,1,205,9,[],None,None
EXPLOIT_VULN,4740.305760435199,4740.977744580308,0.6719841451094908,54,f769b5a1-c7cd-4ff6-b11e-0f3c9d8bd1a0,None,None,1,205,9,[],network,IPShuffle
SCAN_HOST,4750.977744580308,4760.977744580308,10.0,-1,-1,None,None,0,205,9,[],None,None
ENUM_HOST,4760.977744580308,4775.977744580308,15.0,-1,-1,None,None,0,205,9,[],None,None
SCAN_PORT,4775.977744580308,4795.977744580308,20.0,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],None,None
EXPLOIT_VULN,4795.977744580308,4820.806929039007,24.829184458698364,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],application,PortShuffle
SCAN_PORT,4830.806929039007,4850.806929039007,20.0,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],None,None
EXPLOIT_VULN,4850.806929039007,4861.067316514249,10.260387475242169,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],application,ServiceDiversity
SCAN_PORT,4871.067316514249,4891.067316514249,20.0,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],None,None
EXPLOIT_VULN,4891.067316514249,4901.076189112365,10.008872598115886,38,af9ec496-933f-4177-9db5-2a1772e8a970,None,None,1,205,9,[],network,CompleteTopologyShuffle
SCAN_HOST,4911.076189112365,4921.076189112365,10.0,-1,-1,None,None,0,205,9,[],None,None
ENUM_HOST,4921.076189112365,4936.076189112365,15.0,-1,-1,None,None,0,205,9,[],None,None
SCAN_PORT,4936.076189112365,4956.076189112365,20.0,25,ee56e480-112b-4416-afe8-f1af3b42ac5d,None,None,2,205,9,[],None,None
EXPLOIT_VULN,4956.076189112365,4956.995099747467,0.9189106351022929,25,ee56e480-112b-4416-afe8-f1af3b42ac5d,None,None,2,205,9,[],network,HostTopologyShuffle
SCAN_HOST,4966.995099747467,4976.995099747467,10.0,-1,-1,None,None,0,205,9,[],None,None
ENUM_HOST,4976.995099747467,4991.995099747467,15.0,-1,-1,None,None,0,205,9,[],None,None
